ell,D_ell,model,sigma_eff,z_whitened
374,1976.26405,2120.3554478278297,210.95745948605474,-0.6830353293923452
375,2120.62383,2108.7649293106087,217.80294231482188,0.054447844291515016
376,1992.39641,2097.547556070643,209.98440589551055,-0.5007569282214552
377,1782.39655,2086.7021505124603,198.1659820064832,-1.5356096814967197
378,2197.81218,2076.2274228884467,219.58767835487208,0.5536957174576166
379,2462.9846,2066.1219733705066,234.16223256613526,1.6948191101543495
380,1777.62617,2056.3842941198645,195.33927302388406,-1.4270459790529726
381,1884.33569,2047.0127713538066,200.103696566343,-0.8129638989446254
382,1603.6457,2038.0056874079135,185.01984619425772,-2.3476399766966956
383,1980.29009,2029.3612227925482,203.80179830332813,-0.24077870362808731
384,2011.43962,2021.0774582423405,204.83144931675523,-0.047052531603368614
385,1610.90204,2013.1523767574827,183.10496883776523,-2.196829170233413
386,1703.90106,2005.5838656357457,187.09713759778657,-1.612439449951878
387,2002.2338,1998.3697184940486,202.43369256968808,0.0190881342769617
388,1801.98757,1991.507637278658,190.94451783929154,-0.9925399766552477
389,1670.79125,1984.9952342629379,183.50139665230898,-1.7122702605816067
390,1907.23652,1978.830034031826,195.49309351559202,-0.36622017046405775
391,1718.82609,1973.0094754520364,184.85261961059132,-1.3750596880233377
392,1944.65279,1967.5309136273097,196.54449890329474,-0.11640175001064908
393,1761.75274,1962.3916218378179,186.09579486084436,-1.078148391197385
394,1892.11225,1957.5887934630437,192.7050567732741,-0.33977594858903865
395,1674.00847,1953.1195438875043,180.53705892985104,-1.5460043247738675
396,1739.88345,1948.980912388621,183.57802715920297,-1.1390113818321346
397,1778.42023,1945.1698640061961,185.24180932940914,-0.9001727774623008
398,1662.82057,1941.6832913930207,178.70729392494226,-1.560443982270494
399,1856.24137,1938.518016646009,188.76654052569327,-0.4358645680366766
400,1754.08525,1935.6707931175908,182.85015110979566,-0.9930839105982169
401,1802.00671,1933.1383072068343,185.13955867637338,-0.708285134437714
402,1904.18979,1930.9171801300795,190.52219006858252,-0.14028491967501786
403,1519.44533,1929.0039696706867,169.67249900156574,-2.413818633430438
404,1590.23034,1927.3951719077168,173.014340002484,-1.948768130450204
405,1742.72434,1926.0872229233585,180.851501884243,-1.0138864262278726
406,1867.0121,1925.076500488843,187.49004576438375,-0.3096932439912672
407,1805.36658,1924.3593257288571,183.8688526540862,-0.6471609737660077
408,1739.87721,1923.9319647642576,180.1034572641233,-1.0219390430375779
409,1694.95335,1923.790630333134,177.51494490505516,-1.2891155753422838
410,1748.53818,1923.9314833901512,180.27278402788812,-0.9729327936879144
411,1663.59602,1924.3506346842803,175.56552354891167,-1.4852267655593292
412,1629.65474,1925.0441463149216,173.65498398048123,-1.7010131212135169
413,1800.00838,1926.00803326658,182.7847317752079,-0.6893335785919843
414,1710.92069,1927.2382649222227,177.8332860663791,-1.2164065553030314
415,1986.7619,1928.7307665554608,193.2400314750923,0.30030596145922833
416,1723.82646,1930.4814208018458,178.43552543123283,-1.1581491987226977
